,Depot,ST-296,ST-297,ST-414,ST-424,ST-425,ST-45,ST-46,ST-47,ST-50,ST-51,ST-52,ST-53,ST-55,ST-56,ST-57,ST-58,ST-59,ST-60,ST-61,ST-62,ST-63,ST-64,ST-65,ST-66,ST-67,ST-68,ST-69,ST-70,ST-71,ST-72,ST-73
2017-09-20 16:00:00,100,8,4,9,8,8,23,15,28,26,0,27,24,23,23,15,19,7,12,12,12,16,6,10,17,15,5,19,17,8,27,21
2017-09-20 16:10:00,85,8,4,9,8,8,24,13,28,26,0,26,23,21,24,15,19,6,12,12,12,16,4,26,16,15,5,20,17,8,26,15
2017-09-20 16:20:00,85,8,4,9,8,8,24,13,27,26,0,26,22,20,24,15,19,6,11,12,11,16,4,24,16,15,7,20,17,7,26,16
2017-09-20 16:30:00,85,8,4,9,10,8,26,11,27,26,3,26,22,19,22,17,19,7,11,12,11,17,4,21,17,15,5,21,17,6,26,15
2017-09-20 16:40:00,85,9,4,9,10,7,26,11,26,26,3,26,22,19,22,17,19,6,11,13,11,17,3,23,17,11,6,22,17,7,25,11
2017-09-20 16:50:00,85,7,4,9,26,7,26,11,25,26,3,24,7,19,22,18,19,5,11,13,11,16,3,22,17,10,5,22,17,7,25,10
2017-09-20 17:00:00,85,6,5,9,26,7,27,11,24,24,3,24,6,18,23,18,19,5,10,12,11,15,3,23,17,9,4,23,17,7,25,6
2017-09-20 17:10:00,85,6,5,9,27,3,25,11,23,23,3,22,6,17,23,17,19,1,10,12,12,15,6,23,14,14,6,21,19,7,25,5
2017-09-20 17:20:00,85,6,4,9,27,3,25,10,25,22,3,20,7,16,22,17,17,0,10,12,11,16,7,22,14,0,5,22,20,8,26,22
2017-09-20 17:30:00,85,8,4,9,27,3,24,10,25,23,3,20,7,16,21,17,17,12,10,13,11,15,7,22,13,2,5,22,19,10,27,15
2017-09-20 17:40:00,85,7,4,9,28,3,24,9,25,21,3,20,13,12,20,15,18,3,10,13,11,15,7,22,15,3,7,21,19,10,26,9
2017-09-20 17:50:00,85,6,4,10,28,3,23,7,27,22,3,20,14,12,21,18,18,3,7,13,11,13,7,23,15,4,5,20,19,10,25,9
2017-09-20 18:00:00,85,5,4,8,43,3,21,6,25,20,3,19,12,11,19,20,17,3,6,13,11,13,7,21,14,1,5,6,17,11,26,3
2017-09-20 18:10:00,85,7,3,7,37,3,20,0,14,13,3,16,9,8,15,19,14,3,2,11,11,13,6,21,13,0,4,3,16,12,24,14
2017-09-20 18:20:00,85,1,3,5,35,3,17,0,9,12,7,4,2,3,13,16,8,3,3,7,8,9,6,20,8,0,3,3,15,10,22,6
2017-09-20 18:30:00,85,1,2,5,34,2,15,0,4,11,7,1,0,2,11,20,7,3,2,4,8,9,6,18,3,2,1,6,16,8,23,13
2017-09-20 18:40:00,72,1,4,5,34,3,12,1,1,4,7,1,0,0,9,19,8,16,2,3,6,9,5,19,2,0,1,6,18,7,21,10
2017-09-20 18:50:00,72,2,5,4,34,2,11,1,1,2,7,1,0,1,9,17,1,7,2,0,5,9,5,17,12,0,2,7,17,7,19,3
2017-09-20 19:00:00,72,1,7,2,50,1,4,0,0,2,7,1,0,0,10,12,0,7,2,0,5,8,5,15,0,5,1,5,16,6,20,8
2017-09-20 19:10:00,72,0,9,2,30,1,1,1,17,3,7,2,0,1,8,11,0,7,2,1,7,9,5,15,0,7,1,5,16,5,16,1
2017-09-20 19:20:00,72,0,9,2,27,2,1,0,7,2,7,1,0,2,8,8,0,7,2,0,7,8,1,16,0,4,2,8,18,3,14,10
2017-09-20 19:30:00,72,1,8,2,27,2,1,0,7,2,7,11,0,2,8,7,1,8,2,0,7,8,0,17,0,2,2,7,17,4,12,3
2017-09-20 19:40:00,72,1,9,4,26,2,1,1,8,9,7,3,0,1,8,3,0,8,0,0,9,8,0,14,0,4,2,7,17,3,11,6
2017-09-20 19:50:00,72,1,6,4,26,1,1,2,8,7,7,2,0,2,9,0,3,8,0,0,7,9,0,14,0,5,2,9,18,2,8,10
2017-09-20 20:00:00,72,0,6,4,26,1,1,1,8,7,8,1,0,2,8,0,3,7,0,0,3,9,0,18,0,5,5,10,17,0,8,9
2017-09-20 20:10:00,72,0,6,4,26,1,1,0,7,8,7,0,0,2,8,2,3,7,0,0,1,8,15,20,0,6,1,10,18,0,7,13
2017-09-20 20:20:00,72,1,6,4,25,1,1,0,8,7,7,1,0,2,8,2,3,7,0,0,2,8,17,20,0,6,2,6,16,1,6,17
2017-09-20 20:30:00,72,2,6,3,25,3,1,1,8,6,7,0,0,0,8,4,3,7,0,0,2,8,18,20,15,6,1,6,1,1,6,25
2017-09-20 20:40:00,72,1,6,3,25,4,1,0,7,6,7,0,13,0,8,0,3,8,0,0,2,8,20,19,2,5,1,4,1,1,6,28
2017-09-20 20:50:00,72,0,6,3,25,4,1,0,7,6,7,0,0,0,8,0,17,8,0,0,1,6,17,21,3,4,2,5,3,1,6,30
2017-09-20 21:00:00,72,1,6,3,25,4,1,0,8,6,7,0,14,0,8,1,5,7,0,1,1,3,17,21,2,4,1,5,3,0,6,31
2017-09-20 21:10:00,72,0,11,2,25,6,1,0,8,6,7,0,13,1,8,1,4,7,0,0,1,2,17,21,2,6,2,5,3,1,6,31
2017-09-20 21:20:00,72,0,11,2,25,6,1,0,9,6,7,0,13,1,9,1,2,7,0,0,1,1,15,22,2,8,1,5,3,1,6,32
2017-09-20 21:30:00,72,0,11,2,26,6,1,0,8,6,7,0,13,1,9,2,2,8,0,1,1,1,15,20,2,7,2,5,1,0,6,36
2017-09-20 21:40:00,72,2,11,2,25,6,1,1,7,6,7,0,13,1,9,0,2,8,0,1,1,1,15,20,2,7,1,2,2,0,6,37
2017-09-20 21:50:00,72,0,10,2,25,6,4,2,7,6,8,0,13,1,9,0,2,8,0,0,1,1,15,23,2,8,1,2,2,0,7,34
